Jogador,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Destiny Udogie,13,itITA,LB,21-278,90,0,0,0,0,0,0,0,0,57,2,0,2,0.0,0.0,0.0,2,0,43,49,"87,8",5,27,0,0,0,2024-09-01
Cristian Romero,17,arARG,CB,26-127,90,0,0,0,0,0,0,0,0,59,2,0,2,0.0,0.0,0.0,0,0,46,53,"86,8",4,33,1,0,0,2024-09-01
Radu Drăgușin,6,roROU,CB,22-211,90,0,0,0,0,1,0,0,0,59,1,1,2,0.0,0.0,0.0,0,0,39,45,"86,7",1,26,0,0,0,2024-09-01
Pedro Porro,23,esESP,RB,24-354,90,0,0,0,0,6,1,0,0,80,4,2,0,0.2,0.2,0.1,5,0,44,64,"68,8",6,39,0,2,1,2024-09-01
Guglielmo Vicario,1,itITA,GK,27-330,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,15,24,"62,5",0,18,0,0,0,2024-09-01
15 Jogadores,,,,,990,0,0,0,0,20,6,4,0,664,23,5,12,1.3,1.3,0.5,35,0,445,547,"81,4",48,361,26,21,8,2024-09-01
Nicolas Jackson,15,snSEN,FW,23-073,90,1,0,0,0,4,3,1,0,17,0,0,0,1.3,1.3,0.0,1,0,3,5,"60,0",0,9,3,3,1,2024-09-01
Pedro Neto,7,ptPOR,LW,24-176,57,0,0,0,0,0,0,1,0,19,0,0,0,0.0,0.0,0.0,2,0,13,18,"72,2",1,15,3,1,1,2024-09-01
João Félix,14,ptPOR,"LM,LW",24-296,33,0,0,0,0,1,1,0,0,22,0,0,0,0.0,0.0,0.0,2,0,12,13,"92,3",2,10,1,4,1,2024-09-01
Noni Madueke,11,engENG,RW,22-175,85,0,0,0,0,3,1,0,0,37,2,0,1,0.6,0.6,0.0,2,1,24,27,"88,9",5,18,5,3,1,2024-09-01
Christopher Nkunku,18,frFRA,RW,26-292,5,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,10,12,"83,3",2,4,1,0,0,2024-09-01
Cole Palmer,20,engENG,"AM,RM",22-118,90,0,1,0,0,2,1,1,0,56,0,1,0,0.1,0.1,1.2,8,1,35,46,"76,1",7,28,0,3,1,2024-09-01
Enzo Fernández,8,arARG,"DM,CM",23-228,90,0,0,0,0,0,0,0,0,92,2,0,1,0.0,0.0,0.0,1,0,66,80,"82,5",3,40,0,0,0,2024-09-01
Moisés Caicedo,25,ecECU,"DM,RB",22-304,90,0,0,0,0,0,0,0,0,93,5,3,2,0.0,0.0,0.0,2,0,76,81,"93,8",4,45,2,1,0,2024-09-01
Marc Cucurella,3,esESP,LB,26-041,90,0,0,0,0,0,0,0,0,93,0,0,2,0.0,0.0,0.0,0,0,75,84,"89,3",6,26,1,1,1,2024-09-01
Levi Colwill,6,engENG,CB,21-188,90,0,0,0,0,2,1,0,0,123,1,1,1,0.2,0.2,0.0,1,0,106,111,"95,5",10,68,1,1,0,2024-09-01
Wesley Fofana,29,frFRA,CB,23-259,90,0,0,0,0,0,0,1,0,84,1,1,4,0.0,0.0,0.3,3,0,63,67,"94,0",7,38,1,1,1,2024-09-01
Malo Gusto,27,frFRA,RB,21-105,73,0,0,0,0,1,0,0,0,44,1,1,1,0.0,0.0,0.0,0,0,33,37,"89,2",2,23,1,0,0,2024-09-01
Mykhailo Mudryk,10,uaUKR,LW,23-240,17,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.2,2,0,5,10,"50,0",3,6,2,2,1,2024-09-01
Robert Sánchez,1,esESP,GK,26-288,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,32,36,"88,9",0,24,0,0,0,2024-09-01
14 Jogadores,,,,,990,1,1,0,0,13,7,4,0,745,12,7,13,2.3,2.3,1.8,25,2,553,627,"88,2",52,354,21,20,8,2024-09-01
Jean-Philippe Mateta,14,frFRA,FW,27-065,68,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,3,5,"60,0",0,4,0,0,0,2024-09-01
Ismaila Sarr,7,snSEN,FW,26-189,22,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.2,3,0,9,10,"90,0",1,5,0,0,0,2024-09-01
Eberechi Eze,10,engENG,AM,26-064,90,1,0,0,0,3,1,0,0,51,1,0,1,0.2,0.2,0.0,2,0,33,39,"84,6",9,35,1,3,0,2024-09-01
Daichi Kamada,18,jpJPN,AM,28-027,87,0,0,0,0,2,1,0,0,43,1,0,1,0.1,0.1,0.0,3,0,30,38,"78,9",3,21,4,1,1,2024-09-01
